Title,Content,Mental Condition
Depressed and miserable,"Hello, I am new here...
With my Depression, everyday is a struggle for me. From the moment I wake up, throughout the whole day and night.
I feel like my life is going downhill, and not much to look forward to in the future when ill-health and loneliness will take hold.
I am a single mom with 2 kids, son is 23 and daughter 21 years old. It has always been the three of us, and we are close with each other. I know that sooner or later, I will be an Empty Nester, and when that time comes, I will be devastated and miserable.
I can't do much about all of these, and am sad and lonely all the time. I feel I have lost all interest in things that I used to enjoy.
Can I get some advice from anyone, as to how I can be happy and motivated again?",depression
In this horrible rut again,"I'm 52 years old. Almost 4 weeks ago I woke up with awful vertigo. Room was spinning. Really really scared the crap out of me.  Turned out that I have BPPV, nothing serious. They treated it with physical therapy, and it's pretty much resolved. 
BUT the fear and anxiety about what the hell it was triggered me and now I'm in this awful rut of extreme morning anxiety and depression every day. This is my 4th major depression (MD).
I'm on the highest dose of Zoloft. My Psych gave me Buspar a few days ago but I haven't taken it yet.  I use a low dose of Valium each morning just to deal with the anxiety (I know the risks with it).
Previous episodes of depression were triggered by pregnancy, Prednisone, and I'm not sure what triggered the 3rd episode  
My question is has anyone else had a MD episode triggered by a really frightening event???",depression
Mail carrying blues,"I'm a mail carrier.  We are used to dealing with all kinds of sh*t, believe me.  The most recent, tho, is pretty weird and bad.  The new head postmaster general is making changes to undermine our organization and our ability to get your mail to you in a timely way, not to mention putting the carriers in harms way.  One way he is doing the latter is to change our start time to 8:30 a.m.  This is an outrageouly late start time for us.  Usually we start at around 7 to 7:30 a.m. because it takes time to get our mail, get out of the office, get the mail to you, etc.  Most of the routes are very long.  This is especially bad in summer because we can't ""beat the heat"" as well because we are starting later and in the winter it is bad because we are out there longer in the dark.
It's very depressing to have your boss forcing you into harm's way, making your job harder and making customer service worse.  I gripe a lot about my job, it is hard and a lot of the managers suck but I do take pride in my job.  Been doing it a long time.  I do care if people get their mail and get it in a timely way.  We deliver checks, birthday cards, meds, voter's ballots, tons and tons of packages, not to mention a friendly word to the lonely people out there who wait for their mail as the one of the highlights of their day.  Lots of dogs love us or love to hate us too.
This makes me really sad.  I don't think the postal service will ever fall completely, at least not in the near future because we are so tightly woven into the fabric of the American life.  But it sucks to have to deal with this kind of crappy corruption.  The mail carriers and clerks and mail handlers work really hard and we don't deserve to be treated like this.  We do all kind of dangerous and hard things on a daily basis just to get our jobs done and we deserve respect.  I think most Americal people understand what's going on but I wanted to write about this anyway.  
This new postmaster general is really corrupt so if you get your mail late or it's delayed, it's most likely his fault.  Yea, we make mistakes but I've never known a postal employee who was purposely trying to undermine service to the American people like this guy is.  It's shameful.  
There, I've said my peice.  I probably won't be with this job much longer anyway but I needed to get this out there.
Thanks for listening to my rant.",depression
I always feel fake,"been going through a lot of websites lately trying to find some type of support group because im in another one of my lows. With covid and everything I cant see my therapist in person. I can zoom but since i barely talk to her during our sessions to begin with because my anxiety, i havent brought myself to talk to her again yet. My meds seems to be wearing off, as if im getting too used to them. Too bad im maxed out on them looks like im going to have to move onto another one, so great. Last few days ive been pretty out of control feeling numb yet having outbursts of anger then crying for hours. Its been awhile since ive had these outbursts for an extended amount of time all at once. But anyway I just feel like such a fake person, I lie to everyione about how i feel because i dont actually know the answer either. In front of my friends im so happy, beyond happy. But the moment i hit my bed I feel so exahusted from all the lies and fake attitude I snap. Hate feeling like crap yet numb all day, somtimes i wish I got one of those bad diseases because someone who wants to live more then me dosent deserve to have it. Idk just something i feel guilty for but anyway thanks for reading if you made it this far sorry my grammar is a mess I dont sleep much unless I take my sleeping pills which also sucks cause i dont like starting another day over again just to feel the exact same. Any tips to just get my mind off things like a cool craft but not something too hard my motivation and willingness to get outta bed always overpowers.  ",depression
Vent: character development?,Idk what I’m honestly doing writing on here but hey I’m here anyways the last couple years have sucked and I haven’t handled them the best I’ve had manic breaks and went through yet another experience to give me ptsd I’ve been through dozens of horrible relationships experimented with my sexuality realizing I am a trans queer man but my mental health still has a stronger hold on me which I think I’ve been in denial over but idk if it’s good or bad that I’ve realized everything that went on but yeah character development  I guess lol ,depression
Battling my demons,I am a 20 yer old female. I never really believed I was depressed. I was always the happy friend of the group but here lately I haven't been myself. I reached out to my boyfriend and I let him in on my past. He knew I had had a rough life growing up. I lost my sister at the age of 16 due to addiction I gained my neice as a child. So it's always been hard to find someone to accept that part of me. I pushed everything down inside of me and just put a smile on my face and called it a day but I would come home and just lay around. My boyfriend has seen it all take a toll on me. He's been noticing a chane in me that I am not as outgoing as I used to be when we first met when we were 15. He's always held me when I get down on myself. We have been having problems because I don't open up to any one about how I am feeling. He is helping me through everything and trying but I just always push people away. I haven't told my parents how I am feeling because I am afraid. He's always been by my side and he's helping me seek professional help to try and help me and he wants me to tell my parents how I am feeling but I can't bring myself to do it. He hasn't left my side even if I have been ugly or rude towards him. He's never left my sie since I was 15. I have a cat as a coping mechanism and he went and got us a dog so I could sleep at night but I am up all hours of the night just laying in bed next to him staring at our celing. I am trying to get better but I am afriad talking to someone will just make it worse. I am just wondering if it ever gets better? He wants us to move to flordia and start all over for the both of us. We have both been batteling these demons together and we are both working on building to get better together. ,depression
Struggling with Opinions,"This may not be related to Depression, but I don't know where else to put. I feel like I need to vent about this. I am struggling with the part about opinions. I will think of an example. For example, if you explain what you don't like about cats, that's an opinion, right? Okay. What about talking bad about cats, is that an opinion? If that's yes, then I don't get it. I mean if you explain what you don't like about cats, then no need to talk bad about cats. That's called an opinion. I guess I am confused because if it is okay for you to talk bad about cats since you say that is an opinion. Does this mean it's okay for people to talk bad about my deceased mother because it's their ""opinion"" too? No way. That's not an opinion. I don't allow anyone to talk bad about my mother because she is NOT here and she is NOT here to defend herself. Can you see where I am coming from now??  ",depression
Lost,"I feel so utterly lost. I've pushed everyone away and stopped answering phone calls and texts. I know people are concerned, but I can't seem to care. I'm so depressed I was put on medication about 2 weeks ago, but I don't feel any different at the moment. Maybe it takes longer to work, I don't know. I am trying to get out of the depression episode I know to other they probably don't see it, but I really am. I don't want to be like this forever, but I know that's exactly what this is just an episode and it will pass like they always do, but it's hard to see the light when your the one stuck in it. I know my anixity/depression is something I'll never be truly ""cured"" of I will have to learn how to live with this and I guess this is just one of those bumps in the road. ",depression
Anxiety or Depression,"I am curious as to how to determine how much depression, how much anxiety.... and how to go about dealing with medication?
I have been on antidepressants for years and did increase my dosage for winter months (SAD--- way too dismal and bleak after New Year with short dark days and negative let downs of post holiday joys) Plus my husband just died the end of January. Obviously I am still on it .  I did recently spend some time with another man who did seem to notice that my mood is actually pretty good and positive... but I do have moments I am not clear on what to expect and tend to spaz and get overwhelmed... Said he sees more anxiety. 
I know they usually wean you off the anti Ds.... I  am wondering if anyone knows if I could go to a very low dose... and how is anxiety dealt with?  Meds when felt needed? Or always as a precaution?I would appreciate any feedback...
Thanx",depression
Completely Fake,"I've learned to pretend to be someone who isn't me, but when people want to know who I really am I fall into a depressive state. WHile being 'fake' has changed how others percive me, I still look at myself as a horrible person. Due to this I often going into a deep depressive state and cannot come out. Most people assume they've known the true me, but in actuality I know if they do then they will hate me, and for that I am unable to be true. ",depression
